name1,season1,ppg1,apg1,rpg1,bpg1,spg1,tov1,gp1,mp1,sp1,name2,season2,ppg2,apg2,rpg2,bpg2,spg2,tov2,gp2,mp2,sp2,label
Bradley Beal,2012-13,13.9,2.4,3.8,0.9,0.5,1.6,56.0,31.2,0.41,Dirk Nowitzki,2016-17,14.2,1.5,6.5,0.6,0.7,0.9,54.0,26.4,0.437,0.6666666666666666
Dirk Nowitzki,2016-17,14.2,1.5,6.5,0.6,0.7,0.9,54.0,26.4,0.437,Bradley Beal,2012-13,13.9,2.4,3.8,0.9,0.5,1.6,56.0,31.2,0.41,0.33333333333333337
Bradley Beal,2014-15,15.3,3.1,3.8,1.2,0.3,2.0,63.0,33.4,0.427,Dwyane Wade,2007-08,24.6,6.9,4.2,1.7,0.7,4.4,51.0,38.3,0.469,1.0
Dwyane Wade,2007-08,24.6,6.9,4.2,1.7,0.7,4.4,51.0,38.3,0.469,Bradley Beal,2014-15,15.3,3.1,3.8,1.2,0.3,2.0,63.0,33.4,0.427,0.0
Bradley Beal,2014-15,15.3,3.1,3.8,1.2,0.3,2.0,63.0,33.4,0.427,Karl-Anthony Towns,2015-16,18.3,2.0,10.5,0.7,1.7,2.2,82.0,32.0,0.542,0.6666666666666666
Karl-Anthony Towns,2015-16,18.3,2.0,10.5,0.7,1.7,2.2,82.0,32.0,0.542,Bradley Beal,2014-15,15.3,3.1,3.8,1.2,0.3,2.0,63.0,33.4,0.427,0.33333333333333337
Bradley Beal,2014-15,15.3,3.1,3.8,1.2,0.3,2.0,63.0,33.4,0.427,Kevin Durant,2021-22,28.6,5.5,7.7,0.6,0.7,3.0,22.0,36.0,0.533,0.0
Kevin Durant,2021-22,28.6,5.5,7.7,0.6,0.7,3.0,22.0,36.0,0.533,Bradley Beal,2014-15,15.3,3.1,3.8,1.2,0.3,2.0,63.0,33.4,0.427,1.0
Bradley Beal,2015-16,17.4,2.9,3.4,1.0,0.2,2.0,55.0,31.1,0.449,Donovan Mitchell,2017-18,20.5,3.7,3.7,1.5,0.3,2.7,79.0,33.4,0.437,1.0
Donovan Mitchell,2017-18,20.5,3.7,3.7,1.5,0.3,2.7,79.0,33.4,0.437,Bradley Beal,2015-16,17.4,2.9,3.4,1.0,0.2,2.0,55.0,31.1,0.449,0.0
